drawing,model,tier,score,page_idx,pdf_path
409-95412,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-95412_M-915_JOINT\409-95412.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-95412_M-915_JOINT\EST_20250224162640.pdf
413-21586,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\413-21586_A-231_BLOCK\413-21586_A231_BLOCK.pdf
413-25079,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\413-25079_A-215_BLOCK\413-25079_A215_BLOCK.pdf
414-12710,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\414-12710_A-210_BLOCK\414-12710_A210_BLOCK.pdf
430-12600,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\430-12600_A-736_LOWER PLATE\430-12600.pdf
458-27591,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\458-27591_B-045_CASE\458-27591.pdf
458-27592,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\458-27592_B-046_CASE\458-27592.pdf
509-37290,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\509-37290_A021_WASHER\509-37290_A021_WASHER.pdf
509-44251,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\509-44251_Y005_WASHER\509-44251_Y005_WASHER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\K1-6300E_204-19505_LINK(UPPER)_AE02729-00\K1-6300E_BUSHING_304-31967.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\K1-6300E_204-19505_LINK(UPPER)_AE02729-00\K1-6300E_LINK(UPPER)_204-19505.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\K1-6300E_204-19505_LINK(UPPER)_AE02729-00\LINK(UPPER)加工基準.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\K1-6300E_204-19505_LINK(UPPER)_AE02729-00\LINK(UPPER)工程表.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\調達EDI\EDI説明資料_取引先用_rev02.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\調達EDI\HGR-05-39-00_Web-EDI取引登録申請書兼同意書.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\調達EDI\購買管理システム手順書_取引先様向けEDIサイトアクセス_rev1_1.pdf
